cell,type
MGH45_P12_D09,tumor
MGH45_P12_D10,tumor
MGH45_P12_D12,tumor
MGH45_P12_E01,tumor
MGH45_P12_E02,tumor
MGH45_P12_E03,tumor
MGH45_P12_E06,tumor
MGH45_P12_E08,tumor
MGH45_P12_E10,tumor
MGH45_P12_E11,tumor
MGH45_P12_F01,tumor
MGH45_P12_F02,tumor
MGH45_P12_F03,tumor
MGH45_P12_F04,tumor
MGH45_P12_F05,tumor
MGH45_P12_F07,tumor
MGH45_P12_F08,tumor
MGH45_P12_F11,tumor
MGH45_P12_F12,tumor
MGH45_P12_G01,tumor
MGH45_P12_G04,tumor
MGH45_P12_G05,tumor
MGH45_P12_G06,tumor
MGH45_P12_G07,tumor
MGH45_P12_G08,tumor
MGH45_P12_G09,tumor
MGH45_P12_G10,tumor
MGH45_P12_G11,tumor
MGH45_P12_H01,tumor
MGH45_P12_H03,tumor
MGH45_P12_H06,tumor
MGH45_P12_H10,tumor
MGH45_P12_H12,tumor
MGH45_P7_A02,tumor
MGH45_P7_A07,tumor
MGH45_P7_A09,tumor
MGH45_P7_A12,tumor
MGH45_P7_B05,tumor
MGH45_P7_B06,tumor
MGH45_P7_B08,tumor
MGH45_P7_B12,tumor
MGH45_P7_C01,tumor
MGH45_P7_C02,tumor
MGH45_P7_C04,tumor
MGH45_P7_C05,tumor
MGH45_P7_C06,tumor
MGH45_P7_C07,tumor
MGH45_P7_C08,tumor
MGH45_P7_C09,tumor
MGH45_P7_D01,tumor
MGH45_P7_D02,tumor
MGH45_P7_D05,tumor
MGH45_P7_D07,tumor
MGH45_P7_D10,tumor
MGH45_P7_D12,tumor
MGH45_P7_E01,tumor
MGH45_P7_E03,tumor
MGH45_P7_E05,tumor
MGH45_P7_E06,tumor
MGH45_P7_E10,tumor
MGH45_P7_E11,tumor
MGH45_P7_F01,tumor
MGH45_P7_F03,tumor
MGH45_P7_F04,tumor
MGH45_P7_F08,tumor
MGH45_P7_F09,tumor
MGH45_P7_G01,tumor
MGH45_P7_G02,tumor
MGH45_P7_G04,tumor
MGH45_P7_G07,tumor
MGH45_P7_G08,tumor
MGH45_P7_G11,tumor
MGH45_P7_G12,tumor
MGH45_P7_H03,tumor
MGH45_P7_H04,tumor
MGH45_P7_H11,tumor
MGH45_P7_H12,tumor
MGH45_P8_A01,tumor
MGH45_P8_A03,tumor
MGH45_P8_A05,tumor
MGH45_P8_A06,tumor
MGH45_P8_A09,tumor
MGH45_P8_B01,tumor
MGH45_P8_B03,tumor
MGH45_P8_B12,tumor
MGH45_P8_C04,tumor
MGH45_P8_C07,tumor
MGH45_P8_C09,tumor
MGH45_P8_D01,tumor
MGH45_P8_D02,tumor
MGH45_P8_D03,tumor
MGH45_P8_D05,tumor
MGH45_P8_D07,tumor
MGH45_P8_E01,tumor
MGH45_P8_E03,tumor
MGH45_P8_E06,tumor
MGH45_P8_E08,tumor
MGH45_P8_E10,tumor
MGH45_P8_E11,tumor
MGH45_P8_F01,tumor
MGH45_P8_F02,tumor
MGH45_P8_F04,tumor
MGH45_P8_F05,tumor
MGH45_P8_F07,tumor
MGH45_P8_F08,tumor
MGH45_P8_F09,tumor
MGH45_P8_F11,tumor
MGH45_P8_G01,tumor
MGH45_P8_G02,tumor
MGH45_P8_G06,tumor
MGH45_P8_G09,tumor
MGH45_P8_G10,tumor
MGH45_P8_G11,tumor
MGH45_P8_H01,tumor
MGH45_P8_H03,tumor
MGH45_P8_H04,tumor
MGH45_P8_H05,tumor
MGH45_P8_H09,tumor
MGH45_P8_H10,tumor
MGH45_P8_H11,tumor
MGH45_P6_A03,tumor
MGH45_P6_A04,tumor
MGH45_P6_A06,tumor
MGH45_P6_A08,tumor
MGH45_P6_A11,tumor
MGH45_P6_B04,tumor
MGH45_P6_B05,tumor
MGH45_P6_B06,tumor
MGH45_P6_B07,tumor
MGH45_P6_B08,tumor
MGH45_P6_B09,tumor
MGH45_P6_B11,tumor
MGH45_P6_C02,tumor
MGH45_P6_C10,tumor
